# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Link, Anchor Text
"https://parklanejewelry.com/login",  Login
"https://parklanejewelry.com/store", SHOP NOW
"https://parklanejewelry.com/catalog", Browse Catalog
"https://parklanejewelry.com/store/category/bracelet", Bracelets
"https://parklanejewelry.com/store/category/necklace", Necklaces
"https://parklanejewelry.com/store/category/earring", Earrings
"https://parklanejewelry.com/store/tags/men", Mens
"https://parklanejewelry.com/store/category/ring", Ring
"https://parklanejewelry.com/store/tags/monthly-specials", SHOP NOW
"https://parklanejewelry.com/store/category/watch", Watch
"https://parklanejewelry.com/store/category/giftcard", Gift Cards
"https://parklanejewelry.com/store/category/sale", Sale
"https://parklanejewelry.com/store/tags/2022-SUMMER-SALE", SHOP NOW
"https://parklanejewelry.com/giftcard", Gift Cards
"https://parklanejewelry.com/cr/login", REGISTER FOR CONVENTION
"https://parklanejewelry.com/sparkle", Order Your Sparkle Box
"https://parklanejewelry.com/join", Join Park Lane
"https://parklanejewelry.com/host", Host a Party
"https://parklanejewelry.com/find-rep", Find A Rep
"https://parklanejewelry.com/store/tags/2022-SUMMER-SALE#", Next
"https://parklanejewelry.com/about", The Park Lane Story
"https://parklanejewelry.com/news", Press
"https://parklanejewelry.com/social", Social
"https://parklanejewelry.com/convention", Convention
"https://parklanejewelry.com/guarantee", Guarantee/Returns
"https://parklanejewelry.com/contact", Contact & Help
"https://parklanejewelry.com/store/changeRep",  Change Stylist
"https://parklanejewelry.com/", United States
"https://parklanejewelry.com/store/cart", 
      
"https://parklanejewelry.com/store/wishlist", 
"https://parklanejewelry.com/store#jewelryGrid", Shop
"https://parklanejewelry.com/sparklebox", Sparkle BoxSparkle Box
"https://parklanejewelry.com/store/product/betsey-necklace", Betsey Necklace
$15.00
"http://www.facebook.com/parklanejewelry",  Facebook
"http://instagram.com/parklanejewelry/",  Instagram
"http://pinterest.com/parklanejewelry/", 
"http://www.twitter.com/parklanejewelry", 
"http://www.youtube.com/jewelsbyparklane",  YouTube
"https://parklanejewelry.com/cr", Convention
"https://1893895795.rsc.cdn77.org/common/pdf/ethical_sourcing_social_responsibility_2021.pdf", Ethical Sourcing
"https://parklanejewelry.com/reviews", Reviews
"https://parklanejewelry.com/newsletter", Newsletter
"http://pinterest.com/parklanejewelry",  Pinterest
"http://twitter.com/parklanejewelry",  Twitter
"https://parklanejewellery.com.au/", Australia
"https://parklanejewellery.ca/", Canada
"https://parklanejewelry.mx/", Mexico
"https://parklanejewellery.co.uk/", United Kingdom
"https://parklanejewelry.com/signup/terms", I AGREE TO THE TERMS AND CONDITIONS.
"https://parklanejewelry.com/privacy", Privacy Policy
"https://parklanejewelry.com/store/tag/cust-spec", SHOP NOW"https://parklanejewelry.com/login",  Login
"https://parklanejewelry.com/store", SHOP NOW
"https://parklanejewelry.com/catalog", Browse Catalog
"https://parklanejewelry.com/store/category/bracelet", Bracelets
"https://parklanejewelry.com/store/category/necklace", Necklaces
"https://parklanejewelry.com/store/category/earring", Earrings
"https://parklanejewelry.com/store/tags/men", Mens
"https://parklanejewelry.com/store/category/ring", Ring
"https://parklanejewelry.com/store/tags/monthly-specials", SHOP NOW
"https://parklanejewelry.com/store/category/watch", Watch
"https://parklanejewelry.com/store/category/giftcard", Gift Cards
"https://parklanejewelry.com/store/category/sale", Sale
"https://parklanejewelry.com/store/tags/2022-SUMMER-SALE", SHOP NOW
"https://parklanejewelry.com/giftcard", Gift Cards
"https://parklanejewelry.com/cr/login", REGISTER FOR CONVENTION
"https://parklanejewelry.com/sparkle", Order Your Sparkle Box
"https://parklanejewelry.com/join", Join Park Lane
"https://parklanejewelry.com/host", Host a Party
"https://parklanejewelry.com/find-rep", Find A Rep
"https://parklanejewelry.com/store/tags/2022-SUMMER-SALE#", Next
"https://parklanejewelry.com/about", The Park Lane Story
"https://parklanejewelry.com/news", Press
"https://parklanejewelry.com/social", Social
"https://parklanejewelry.com/convention", Convention
"https://parklanejewelry.com/guarantee", Guarantee/Returns
"https://parklanejewelry.com/contact", Contact & Help
"https://parklanejewelry.com/store/changeRep",  Change Stylist
"https://parklanejewelry.com/", United States
"https://parklanejewelry.com/store/cart", 
      
"https://parklanejewelry.com/store/wishlist", 
"https://parklanejewelry.com/store#jewelryGrid", Shop
"https://parklanejewelry.com/sparklebox", Sparkle BoxSparkle Box
"https://parklanejewelry.com/store/product/juicy-earrings", Juicy Earrings
$15.00
"https://parklanejewelry.com/store/product/sailor-earrings", Sailor Earrings
$10.00
"https://parklanejewelry.com/store/product/fruity-earrings", Fruity Earrings
$15.00
"https://parklanejewelry.com/store/product/alice-earrings", Alice Earrings
$10.00
"https://parklanejewelry.com/store/product/beachy-earrings", Beachy Earrings
$20.00
"https://parklanejewelry.com/store/product/daisy-earrings", Daisy Earrings
$15.00
"https://parklanejewelry.com/store/product/dancer-earrings", Dancer Earrings
$15.00
"https://parklanejewelry.com/store/product/canyon-earrings-14010", Canyon Earrings
$15.00
"https://parklanejewelry.com/store/product/primrose-necklace", Primrose Necklace
$20.00
"https://parklanejewelry.com/store/product/meadow-bracelet-13867", Meadow Bracelet
$15.00
"https://parklanejewelry.com/store/product/deva-necklace", Deva Necklace
$20.00
"https://parklanejewelry.com/store/product/aura-bracelet", Aura Bracelet
$20.00
"https://parklanejewelry.com/store/product/lovestruck-necklace", Lovestruck Necklace
$20.00
"https://parklanejewelry.com/store/product/sage-earrings", Sage Earrings
$20.00
"https://parklanejewelry.com/store/product/bahama-necklace", Bahama Necklace
$20.00
"http://www.facebook.com/parklanejewelry",  Facebook
"http://instagram.com/parklanejewelry/",  Instagram
"http://pinterest.com/parklanejewelry/", 
"http://www.twitter.com/parklanejewelry", 
"http://www.youtube.com/jewelsbyparklane",  YouTube
"https://parklanejewelry.com/cr", Convention
"https://1893895795.rsc.cdn77.org/common/pdf/ethical_sourcing_social_responsibility_2021.pdf", Ethical Sourcing
"https://parklanejewelry.com/reviews", Reviews
"https://parklanejewelry.com/newsletter", Newsletter
"http://pinterest.com/parklanejewelry",  Pinterest
"http://twitter.com/parklanejewelry",  Twitter
"https://parklanejewellery.com.au/", Australia
"https://parklanejewellery.ca/", Canada
"https://parklanejewelry.mx/", Mexico
"https://parklanejewellery.co.uk/", United Kingdom
"https://parklanejewelry.com/signup/terms", I AGREE TO THE TERMS AND CONDITIONS.
"https://parklanejewelry.com/privacy", Privacy Policy
"https://parklanejewelry.com/store/tag/cust-spec", SHOP NOW"https://parklanejewelry.com/login",  Login
"https://parklanejewelry.com/store", SHOP NOW
"https://parklanejewelry.com/catalog", Browse Catalog
"https://parklanejewelry.com/store/category/bracelet", Bracelets
"https://parklanejewelry.com/store/category/necklace", Necklaces
"https://parklanejewelry.com/store/category/earring", Earrings
"https://parklanejewelry.com/store/tags/men", Mens
"https://parklanejewelry.com/store/category/ring", Ring
"https://parklanejewelry.com/store/tags/monthly-specials", SHOP NOW
"https://parklanejewelry.com/store/category/watch", Watch
"https://parklanejewelry.com/store/category/giftcard", Gift Cards
"https://parklanejewelry.com/store/category/sale", Sale
"https://parklanejewelry.com/store/tags/2022-SUMMER-SALE", SHOP NOW
"https://parklanejewelry.com/giftcard", Gift Cards
"https://parklanejewelry.com/cr/login", REGISTER FOR CONVENTION
"https://parklanejewelry.com/sparkle", Order Your Sparkle Box
"https://parklanejewelry.com/join", Join Park Lane
"https://parklanejewelry.com/host", Host a Party
"https://parklanejewelry.com/find-rep", Find A Rep
"https://parklanejewelry.com/store/category/sale#", Next
"https://parklanejewelry.com/about", The Park Lane Story
"https://parklanejewelry.com/news", Press
"https://parklanejewelry.com/social", Social
"https://parklanejewelry.com/convention", Convention
"https://parklanejewelry.com/guarantee", Guarantee/Returns
"https://parklanejewelry.com/contact", Contact & Help
"https://parklanejewelry.com/store/changeRep",  Change Stylist
"https://parklanejewelry.com/", United States
"https://parklanejewelry.com/store/cart", 
      
"https://parklanejewelry.com/store/wishlist", 
"https://parklanejewelry.com/store#jewelryGrid", Shop
"https://parklanejewelry.com/sparklebox", Sparkle BoxSparkle Box
"https://parklanejewelry.com/store/product/outstanding-pierced-earrings", OUTSTANDING PIERCED EARRINGS
$52.00
"https://parklanejewelry.com/store/product/cherry-blossom-necklace", CHERRY BLOSSOM NECKLACE
$49.00
"https://parklanejewelry.com/store/product/cherry-blossom-pierced-earrings", CHERRY BLOSSOM PIERCED EARRINGS
$49.00
"https://parklanejewelry.com/store/product/solara-ring", SOLARA RING
$32.00
"https://parklanejewelry.com/store/product/flashy-pierced-earrings", FLASHY PIERCED EARRINGS
$20.00
"https://parklanejewelry.com/store/product/azure-necklace", AZURE NECKLACE
$49.00
"https://parklanejewelry.com/store/product/azure-pierced-earrings", AZURE PIERCED EARRINGS
$52.00
"https://parklanejewelry.com/store/product/rihanna-pierced-earrings", RIHANNA PIERCED EARRINGS
$60.00
"https://parklanejewelry.com/store/product/applelicious-ring", APPLELICIOUS RING
$58.00
"https://parklanejewelry.com/store/product/metallic-ring", METALLIC RING
$30.00
"https://parklanejewelry.com/store/product/foxy-lady-ring", FOXY LADY RING
$58.00
"https://parklanejewelry.com/store/product/spring-time-ring", SPRING TIME RING
$22.00
"https://parklanejewelry.com/store/product/wild-diamonds-ring", WILD DIAMONDS RING
$30.00
"https://parklanejewelry.com/store/product/amber-necklace", AMBER NECKLACE
$32.00
"https://parklanejewelry.com/store/product/amber-rose-necklace", AMBER ROSE NECKLACE
$52.00
"http://www.facebook.com/parklanejewelry",  Facebook
"http://instagram.com/parklanejewelry/",  Instagram
"http://pinterest.com/parklanejewelry/", 
"http://www.twitter.com/parklanejewelry", 
"http://www.youtube.com/jewelsbyparklane",  YouTube
"https://parklanejewelry.com/cr", Convention
"https://1893895795.rsc.cdn77.org/common/pdf/ethical_sourcing_social_responsibility_2021.pdf", Ethical Sourcing
"https://parklanejewelry.com/reviews", Reviews
"https://parklanejewelry.com/newsletter", Newsletter
"http://pinterest.com/parklanejewelry",  Pinterest
"http://twitter.com/parklanejewelry",  Twitter
"https://parklanejewellery.com.au/", Australia
"https://parklanejewellery.ca/", Canada
"https://parklanejewelry.mx/", Mexico
"https://parklanejewellery.co.uk/", United Kingdom
